distance,theta1,theta2,theta3,theta4,theta_d
  4.041577, 57.271750, 99.370329,151.185704, 60.145317, 70.854164
  4.320853, 64.328856,107.815194,141.802518, 48.787112, 83.685164
  5.768919, 49.354763, 60.164391,123.567881,126.606248,  5.549225
  3.968348,116.235069,107.274054,  7.091729,104.650658,129.869276
  3.037638, 28.311415, 91.253587,137.413351, 96.994459, 41.979585
  3.270443, 64.674817,174.130801, 73.273985, 73.805208,119.381779
  5.009351, 49.938995, 61.111517,136.450620,113.655665, 12.781352
  3.846349, 70.162016, 72.533631, 68.911861,177.911651, 56.342909
  5.306468,148.898728, 47.867876, 99.527039, 69.486147, 99.217719
  4.848567,145.556578, 57.889403,104.926481, 56.576183,104.713410
  2.860087,166.269189, 68.109006, 60.755144, 83.691275,121.210906
