distance,theta1,theta2,theta3,theta4,theta_d
  5.361527, 72.422759, 50.534641,156.168043, 91.293973, 35.698529
  4.333727, 39.922084,133.893265, 71.028694,113.487228, 86.353868
  4.583288, 38.979645,133.918133, 72.026746,113.074042, 85.860401
  3.533342,100.654354, 85.445199,138.513481, 31.246773, 95.255316
  3.518842, 39.564784,103.657285,141.865805, 75.348066, 62.474400
  3.320860, 85.303266, 67.047969,164.782083, 60.446093, 65.892694
  3.644222, 65.244883,116.145852, 45.119435,133.162359, 91.071762
  5.876660, 64.174114,131.211251, 45.824538,118.221788,101.176300
  2.965633,157.642882, 81.868264, 48.203942, 83.407318,132.587081
  4.394672, 38.321027, 73.587568,110.038588,136.252840, 22.750647
  3.531860,132.304278, 57.037419,118.142068, 53.055104, 96.428310
  5.254732, 96.617949, 34.490151,142.699636, 84.950568, 52.243656
  5.890632,136.474197, 27.383947, 91.827019, 97.440992, 81.959084
  2.711065, 63.099715, 53.781912,149.703580,100.465838, 25.203307
  5.146271,132.388247, 52.293371, 57.850718,118.001160, 93.110892
  4.277586, 79.449838,133.350456, 32.372659,109.897153,115.903684
  3.245689,120.342277, 58.293136,130.058403, 51.454476, 88.986169
  5.550188,139.732239, 40.379831, 72.927681,106.948731, 90.102376
  3.218314, 78.567938, 85.889393, 48.970247,157.876238, 76.478706
  3.347373, 17.468606,116.287214, 92.000114,118.391748, 63.754227
  2.804469,153.025803, 74.375892, 47.121932, 93.363018,122.570848
  5.940090,130.484263,102.165647, 93.935913, 21.730308,138.178691
  4.637733, 32.691265,100.567786,139.665066, 84.071607, 55.201701
  5.921088,116.294339, 18.526233,119.226854, 90.967030, 64.036523
  4.164440,110.991901,130.134802, 82.976600, 28.294284,150.247613
  3.244652,106.503741,  3.966818,108.502666,113.323122, 51.865609
  5.899933, 60.869999,158.672056, 91.834065, 61.452729,112.716954
  5.938586, 32.392976,122.620654, 77.079021,121.959410, 74.642936
  3.835120, 39.636818, 81.170113,147.369830, 94.643311, 36.910938
  2.881611, 64.170432,171.594436, 78.459830, 69.266120,118.683597
  2.901333, 67.331598,159.477487, 90.184119, 56.273823,118.533102
  2.772750, 54.865940,164.425282, 78.275652, 79.477739,109.531491
  4.347437, 32.035428,125.629624, 77.619995,118.554922, 76.799945
  5.347510,147.490857, 64.648958, 51.179142,102.304383,111.005870
  3.829875, 56.705195, 86.046291,162.888739, 70.268296, 57.626993
